Id,Title,Estimate,Priority,Type,References,Section,Smoke,Regression,Reviewed by QA Lead,Reviewed by QA Manager,Reviewed by PM,To Automate,Automated,Module,To be Moved,Disabled,Steps (Expected),Steps (Steps),Test Data,Preconditions,Created By,Created On,Updated By,Updated On,Desc,Bdd_gherkin,Cucumber_tags,Milestone
,"On Personal info. screen after ""Save Changes"" and ""Cancel"" CTA a separator line is given and after the separator Phone Number label with Add' link is given",,P2 - Should Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,"On Personal info. screen after ""Save Changes"" and ""Cancel"" CTA a separator line is given and after the separator Phone Number label with Add' link is given
Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea274148a12071f13b2","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen",https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea274148a12071f13b2,,,,,,,,,
,Make sure the Phone Number Design and Font text and context should be as per design ,,P2 - Should Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,," Phone Number Design and Font text and context should be as per design 
Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen",https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3,,,,,,,,,
,"On tapping ""Add"" link, User should redirect into Phone number input field",,P1 - Must Test,,CDEM-31,Self Tour - Verify Phone Number,Yes,Yes,,,,,,,,,"On tapping ""Add"" link, User should redirect into Phone number input field","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen",,,,,,,,,,
,Make sure the Design and Description should be as per design ,,P2 - Should Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,"Make sure the Design and Description should be as per design 
Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3,,,,,,,,,
,Make sure Phone number is a mandatory field  and accepts only numeric data,,P1 - Must Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,"Phone number is a mandatory field  and accepts only numeric data
Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",Design: https://app.zeplin.io/project/61fc0245ad1ec4adaa89dcd1/screen/62d15ea1dfd3d1135f77b7d3,,,,,,,,,
,Make sure max. character length is describe against the phone no. field,,P2 - Should Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,Max. character length is describe against the phone no. field,"> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",,,,,,,,,,
,Make sure validation is applied in case phone no. is invalid (not meeting the 10  digits criteria and exceeding 10 digits),,P1 - Must Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,Validation is applied in case phone no. is invalid (not meeting the 10  digits criteria and exceeding 10 digits),"> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",,,,,,,,,,
,"Make sure phone masking is applied on screen while typing/ entering number, masking is also available ",,P2 - Should Test,,CDEM-31,Self Tour - Verify Phone Number,No,No,,,,,,,,,"Phone masking is applied on screen while typing/ entering number, masking is also available ","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.
> Enter Phone no.",,,,,,,,,,
,"Verify If input does not meet this validation, show error on tapping anywhere outside of field",,P1 - Must Test,,CDEM-31,Self Tour - Verify Phone Number,No,Yes,,,,,,,,,"If input does not meet this validation, show error on tapping anywhere outside of field","> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",,,,,,,,,,
,Make sure Save changes should become active only once content is present in 10-digit phone format,,P1 - Must Test,,CDEM-31,Self Tour - Verify Phone Number,,Yes,,,,,,,,,Save changes should become active only once content is present in 10-digit phone format,"> Launch the APP
> Tap on the ""Allow while using App"" location permission option
> Tap on Map / List view
>Tap on any Home
>After redirecting to detail screen, Tap on Request Tour CTA screen
> Tap on Add Phone. No.",,,,,,,,,,
